region,parameter,powertrain,year,unit,value
Portugal,EV sales share,EV,2010,percent,0.322
Portugal,EV sales,BEV,2011,N/A,189.0
Portugal,EV sales share,EV,2011,percent,0.123
Portugal,EV sales,BEV,2012,N/A,52.0
Portugal,EV sales share,EV,2012,percent,0.055
Portugal,EV sales,BEV,2013,N/A,141.0
Portugal,EV sales,PHEV,2013,N/A,37.0
Portugal,EV sales share,EV,2013,percent,0.168
Portugal,EV sales,BEV,2014,N/A,193.0
Portugal,EV sales,PHEV,2014,N/A,9.0
Portugal,EV sales share,EV,2014,percent,0.141
Portugal,EV sales,BEV,2015,N/A,673.0
Portugal,EV sales,PHEV,2015,N/A,442.0
Portugal,EV sales share,EV,2015,percent,0.562
Portugal,EV sales,BEV,2016,N/A,812.0
Portugal,EV sales,PHEV,2016,N/A,1027.0
Portugal,EV sales share,EV,2016,percent,0.798
Portugal,EV sales,BEV,2017,N/A,1893.0
Portugal,EV sales,PHEV,2017,N/A,2501.0
Portugal,EV sales share,EV,2017,percent,1.892
Portugal,EV sales,BEV,2018,N/A,4429.0
Portugal,EV sales,PHEV,2018,N/A,3908.0
Portugal,EV sales share,EV,2018,percent,3.652
Portugal,EV sales,BEV,2019,N/A,6883.0
Portugal,EV sales,PHEV,2019,N/A,5798.0
Portugal,EV sales share,EV,2019,percent,5.666
Portugal,EV sales,BEV,2020,N/A,8137.0
Portugal,EV sales,PHEV,2020,N/A,11858.0
Portugal,EV sales share,EV,2020,percent,13.75
South Africa,EV sales,BEV,2013,N/A,34.0
South Africa,EV sales share,EV,2013,percent,0.008
South Africa,EV sales,BEV,2014,N/A,14.0
South Africa,EV sales,PHEV,2014,N/A,1.0
South Africa,EV sales share,EV,2014,percent,0.003
South Africa,EV sales,BEV,2015,N/A,117.0
South Africa,EV sales,PHEV,2015,N/A,124.0
South Africa,EV sales share,EV,2015,percent,0.058
South Africa,EV sales,BEV,2016,N/A,100.0
South Africa,EV sales,PHEV,2016,N/A,277.0
South Africa,EV sales share,EV,2016,percent,0.104
South Africa,EV sales,BEV,2017,N/A,68.0
South Africa,EV sales,PHEV,2017,N/A,127.0
South Africa,EV sales share,EV,2017,percent,0.053
South Africa,EV sales,BEV,2018,N/A,66.0
South Africa,EV sales,PHEV,2018,N/A,82.0
South Africa,EV sales share,EV,2018,percent,0.04
South Africa,EV sales,BEV,2019,N/A,156.0
South Africa,EV sales,PHEV,2019,N/A,72.0
South Africa,EV sales share,EV,2019,percent,0.064
South Africa,EV sales,BEV,2020,N/A,92.0
South Africa,EV sales,PHEV,2020,N/A,78.0
South Africa,EV sales share,EV,2020,percent,0.055
South Korea,EV sales,BEV,2010,N/A,61.0
South Korea,EV sales share,EV,2010,percent,0.005
South Korea,EV sales,BEV,2011,N/A,274.0
South Korea,EV sales share,EV,2011,percent,0.023
South Korea,EV sales,BEV,2012,N/A,514.0
South Korea,EV sales share,EV,2012,percent,0.041
South Korea,EV sales,BEV,2013,N/A,598.0
South Korea,EV sales share,EV,2013,percent,0.048
South Korea,EV sales,BEV,2014,N/A,1257.0
South Korea,EV sales share,EV,2014,percent,0.093
South Korea,EV sales,BEV,2015,N/A,3051.0
South Korea,EV sales,FCEV,2015,N/A,29.0
South Korea,EV sales,PHEV,2015,N/A,252.0
South Korea,EV sales share,EV,2015,percent,0.217
South Korea,EV sales,BEV,2016,N/A,4685.0
South Korea,EV sales,FCEV,2016,N/A,58.0
South Korea,EV sales,PHEV,2016,N/A,331.0
South Korea,EV sales share,EV,2016,percent,0.328
South Korea,EV sales,BEV,2017,N/A,13970.0
South Korea,EV sales,FCEV,2017,N/A,75.0
South Korea,EV sales,PHEV,2017,N/A,670.0
South Korea,EV sales share,EV,2017,percent,0.941
South Korea,EV sales,BEV,2018,N/A,55486.0
South Korea,EV sales,FCEV,2018,N/A,906.0
South Korea,EV sales,PHEV,2018,N/A,4367.0
South Korea,EV sales share,EV,2018,percent,3.828
South Korea,EV sales,BEV,2019,N/A,33423.0
South Korea,EV sales,FCEV,2019,N/A,4179.0
South Korea,EV sales,PHEV,2019,N/A,2730.0
South Korea,EV sales share,EV,2019,percent,2.274
South Korea,EV sales,BEV,2020,N/A,31329.0
South Korea,EV sales,FCEV,2020,N/A,5783.0
South Korea,EV sales,PHEV,2020,N/A,8509.0
South Korea,EV sales share,EV,2020,percent,2.852
Spain,EV sales,BEV,2010,N/A,76.0
Spain,EV sales share,EV,2010,percent,0.008
Spain,EV sales,BEV,2011,N/A,386.0
Spain,EV sales share,EV,2011,percent,0.048
Spain,EV sales,BEV,2012,N/A,427.0
Spain,EV sales share,EV,2012,percent,0.061
Spain,EV sales,BEV,2013,N/A,811.0
Spain,EV sales,PHEV,2013,N/A,72.0
Spain,EV sales share,EV,2013,percent,0.122
Spain,EV sales,BEV,2014,N/A,1405.0
Spain,EV sales,PHEV,2014,N/A,329.0
Spain,EV sales share,EV,2014,percent,0.202
Spain,EV sales,BEV,2015,N/A,1342.0
Spain,EV sales,PHEV,2015,N/A,785.0
Spain,EV sales share,EV,2015,percent,0.205
Spain,EV sales,BEV,2016,N/A,2005.0
Spain,EV sales,PHEV,2016,N/A,1511.0
Spain,EV sales share,EV,2016,percent,0.306
Spain,EV sales,BEV,2017,N/A,3920.0
Spain,EV sales,PHEV,2017,N/A,3528.0
Spain,EV sales share,EV,2017,percent,0.601
Spain,EV sales,BEV,2018,N/A,6003.0
Spain,EV sales,FCEV,2018,N/A,1.0
Spain,EV sales,PHEV,2018,N/A,5636.0
Spain,EV sales share,EV,2018,percent,0.877
Spain,EV sales,BEV,2019,N/A,10044.0
Spain,EV sales,FCEV,2019,N/A,1.0
Spain,EV sales,PHEV,2019,N/A,7432.0
Spain,EV sales share,EV,2019,percent,1.378
Spain,EV sales,BEV,2020,N/A,18543.0
Spain,EV sales,FCEV,2020,N/A,7.0
Spain,EV sales,PHEV,2020,N/A,23759.0
Spain,EV sales share,EV,2020,percent,4.97
Sweden,EV sales,BEV,2010,N/A,4.0
Sweden,EV sales share,EV,2010,percent,0.001
Sweden,EV sales,BEV,2011,N/A,178.0
Sweden,EV sales share,EV,2011,percent,0.054
Sweden,EV sales,BEV,2012,N/A,266.0
Sweden,EV sales,PHEV,2012,N/A,662.0
Sweden,EV sales share,EV,2012,percent,0.308
Sweden,EV sales,BEV,2013,N/A,432.0
Sweden,EV sales,FCEV,2013,N/A,3.0
Sweden,EV sales,PHEV,2013,N/A,1115.0
Sweden,EV sales share,EV,2013,percent,0.529
Sweden,EV sales,BEV,2014,N/A,1239.0
Sweden,EV sales,PHEV,2014,N/A,3428.0
Sweden,EV sales share,EV,2014,percent,1.44
Sweden,EV sales,BEV,2015,N/A,2962.0
Sweden,EV sales,FCEV,2015,N/A,1.0
Sweden,EV sales,PHEV,2015,N/A,5625.0
Sweden,EV sales share,EV,2015,percent,2.373
Sweden,EV sales,BEV,2016,N/A,2951.3
Sweden,EV sales,FCEV,2016,N/A,3.0
Sweden,EV sales,PHEV,2016,N/A,10463.7
